ADM0_NAME,ADM1_NAME,year,month,ndvi,precip_mm,t2m_c,co_col_molm2,viirs_rad
Morocco,Chaouia - Ouardigha,2010.0,1.0,0.3875716128260026,112.316601727448,11.033917402593442,,
Morocco,Doukkala - Abda,2010.0,1.0,0.40955728618262477,66.68444833283598,12.800743607271531,,
Morocco,Fès - Boulemane,2010.0,1.0,0.24268159657520905,100.26187953924513,7.025555926896475,,
Morocco,Gharb - Chrarda - Béni Hssen,2010.0,1.0,0.47873969753612655,186.1467273794273,12.296684710994736,,
Morocco,Grand Casablanca,2010.0,1.0,0.4469561425360656,125.00825080734779,13.060116964980983,,
Morocco,Guelmim - Es-Semara,2010.0,1.0,0.10584516349965832,22.85802174589465,14.553198799349842,,
Morocco,Laâyoune - Boujdour - Sakia El Hamra,2010.0,1.0,0.09735114818785987,40.76581981040716,16.725651015687525,,
Morocco,Marrakech - Tensift - Al Haouz,2010.0,1.0,0.24788967208920562,51.89105281090302,10.154290290286859,,
Morocco,Rabat - Salé - Zemmour - Zaer,2010.0,1.0,0.4816533698113261,135.10408794255244,10.846709927436862,,
Morocco,Souss - Massa - Draâ,2010.0,1.0,0.1634026890272376,51.13375982233492,9.94194455429095,,
Morocco,Tadla - Azilal,2010.0,1.0,0.3376850134810026,124.55129818198832,5.618135784223772,,
Morocco,Tanger - Tétouan,2010.0,1.0,0.5396675766158112,263.4220583677388,10.461160337243179,,
Morocco,Taza - Al Hoceima - Taounate,2010.0,1.0,0.3125800602799365,160.14057222000537,8.98477458290001,,
Morocco,Meknès - Tafilalet,2010.0,1.0,0.20564873852994123,67.14478515996841,8.532564591723043,,
Morocco,Oriental,2010.0,1.0,0.1908965374400214,59.86949179309096,8.598850305971585,,
Morocco,Chaouia - Ouardigha,2010.0,2.0,0.545024686962295,122.53860869747224,13.221322804569725,,
Morocco,Doukkala - Abda,2010.0,2.0,0.5650209571129073,109.22527097191517,14.756105726932564,,
Morocco,Fès - Boulemane,2010.0,2.0,0.2661351339445585,92.85074821360804,9.577821842031812,,
Morocco,Gharb - Chrarda - Béni Hssen,2010.0,2.0,0.5249219134351387,200.19830485022538,14.19830213191415,,
Morocco,Grand Casablanca,2010.0,2.0,0.5660957565734759,104.41469408595873,14.923496204502301,,
Morocco,Guelmim - Es-Semara,2010.0,2.0,0.1132850088519563,40.80360108894221,16.466726852402633,,
Morocco,Laâyoune - Boujdour - Sakia El Hamra,2010.0,2.0,0.09764861440453018,46.37479212454409,18.35474605762867,,
Morocco,Marrakech - Tensift - Al Haouz,2010.0,2.0,0.3462290843607995,120.69409475703262,12.497628401516392,,
Morocco,Rabat - Salé - Zemmour - Zaer,2010.0,2.0,0.5761128026186645,143.0920217838824,13.106818836506305,,
Morocco,Souss - Massa - Draâ,2010.0,2.0,0.19602450310482689,100.05544099484851,11.72245491519786,,
Morocco,Tadla - Azilal,2010.0,2.0,0.3900502216699442,166.766778499172,8.453375379477047,,
Morocco,Tanger - Tétouan,2010.0,2.0,0.5337130567716953,290.0836412252887,11.808614021207182,,
Morocco,Taza - Al Hoceima - Taounate,2010.0,2.0,0.3583967361002256,133.52896712460745,10.736626587081956,,
Morocco,Meknès - Tafilalet,2010.0,2.0,0.21954128728845043,76.62604148529336,11.142058450024669,,
Morocco,Oriental,2010.0,2.0,0.20096132241710327,39.050302508893175,10.790242087682591,,
Morocco,Chaouia - Ouardigha,2010.0,3.0,0.5944301302245998,65.78207541534348,14.204666099539999,,
